date,urate,year,month
6/1/89,5.3,1989,6
7/1/89,5.2,1989,7
8/1/89,5.2,1989,8
9/1/89,5.3,1989,9
10/1/89,5.3,1989,10
11/1/89,5.4,1989,11
12/1/89,5.4,1989,12
1/1/90,5.4,1990,1
2/1/90,5.3,1990,2
3/1/90,5.2,1990,3
4/1/90,5.4,1990,4
5/1/90,5.4,1990,5
6/1/90,5.2,1990,6
7/1/90,5.5,1990,7
8/1/90,5.7,1990,8
9/1/90,5.9,1990,9
10/1/90,5.9,1990,10
11/1/90,6.2,1990,11
12/1/90,6.3,1990,12
1/1/91,6.4,1991,1
2/1/91,6.6,1991,2
3/1/91,6.8,1991,3
4/1/91,6.7,1991,4
5/1/91,6.9,1991,5
6/1/91,6.9,1991,6
7/1/91,6.8,1991,7
8/1/91,6.9,1991,8
9/1/91,6.9,1991,9
10/1/91,7,1991,10
11/1/91,7,1991,11
12/1/91,7.3,1991,12
1/1/92,7.3,1992,1
2/1/92,7.4,1992,2
3/1/92,7.4,1992,3
4/1/92,7.4,1992,4
5/1/92,7.6,1992,5
6/1/92,7.8,1992,6
7/1/92,7.7,1992,7
8/1/92,7.6,1992,8
9/1/92,7.6,1992,9
10/1/92,7.3,1992,10
11/1/92,7.4,1992,11
12/1/92,7.4,1992,12
1/1/93,7.3,1993,1
2/1/93,7.1,1993,2
3/1/93,7,1993,3
4/1/93,7.1,1993,4
5/1/93,7.1,1993,5
6/1/93,7,1993,6
7/1/93,6.9,1993,7
8/1/93,6.8,1993,8
9/1/93,6.7,1993,9
10/1/93,6.8,1993,10
11/1/93,6.6,1993,11
12/1/93,6.5,1993,12
1/1/94,6.6,1994,1
2/1/94,6.6,1994,2
3/1/94,6.5,1994,3
4/1/94,6.4,1994,4
5/1/94,6.1,1994,5
6/1/94,6.1,1994,6
7/1/94,6.1,1994,7
8/1/94,6,1994,8
9/1/94,5.9,1994,9
10/1/94,5.8,1994,10
11/1/94,5.6,1994,11
12/1/94,5.5,1994,12
1/1/95,5.6,1995,1
2/1/95,5.4,1995,2
3/1/95,5.4,1995,3
4/1/95,5.8,1995,4
5/1/95,5.6,1995,5
6/1/95,5.6,1995,6
7/1/95,5.7,1995,7
8/1/95,5.7,1995,8
9/1/95,5.6,1995,9
10/1/95,5.5,1995,10
11/1/95,5.6,1995,11
12/1/95,5.6,1995,12
1/1/96,5.6,1996,1
2/1/96,5.5,1996,2
3/1/96,5.5,1996,3
4/1/96,5.6,1996,4
5/1/96,5.6,1996,5
6/1/96,5.3,1996,6
7/1/96,5.5,1996,7
8/1/96,5.1,1996,8
9/1/96,5.2,1996,9
10/1/96,5.2,1996,10
11/1/96,5.4,1996,11
12/1/96,5.4,1996,12
1/1/97,5.3,1997,1
2/1/97,5.2,1997,2
3/1/97,5.2,1997,3
4/1/97,5.1,1997,4
5/1/97,4.9,1997,5
6/1/97,5,1997,6
7/1/97,4.9,1997,7
8/1/97,4.8,1997,8
9/1/97,4.9,1997,9
10/1/97,4.7,1997,10
11/1/97,4.6,1997,11
12/1/97,4.7,1997,12
1/1/98,4.6,1998,1
2/1/98,4.6,1998,2
3/1/98,4.7,1998,3
4/1/98,4.3,1998,4
5/1/98,4.4,1998,5
6/1/98,4.5,1998,6
7/1/98,4.5,1998,7
8/1/98,4.5,1998,8
9/1/98,4.6,1998,9
10/1/98,4.5,1998,10
11/1/98,4.4,1998,11
12/1/98,4.4,1998,12
1/1/99,4.3,1999,1
2/1/99,4.4,1999,2
3/1/99,4.2,1999,3
4/1/99,4.3,1999,4
5/1/99,4.2,1999,5
6/1/99,4.3,1999,6
7/1/99,4.3,1999,7
8/1/99,4.2,1999,8
9/1/99,4.2,1999,9
10/1/99,4.1,1999,10
11/1/99,4.1,1999,11
12/1/99,4,1999,12
1/1/00,4,2000,1
2/1/00,4.1,2000,2
3/1/00,4,2000,3
4/1/00,3.8,2000,4
5/1/00,4,2000,5
6/1/00,4,2000,6
7/1/00,4,2000,7
8/1/00,4.1,2000,8
9/1/00,3.9,2000,9
10/1/00,3.9,2000,10
11/1/00,3.9,2000,11
12/1/00,3.9,2000,12
1/1/01,4.2,2001,1
2/1/01,4.2,2001,2
3/1/01,4.3,2001,3
4/1/01,4.4,2001,4
5/1/01,4.3,2001,5
6/1/01,4.5,2001,6
7/1/01,4.6,2001,7
8/1/01,4.9,2001,8
9/1/01,5,2001,9
10/1/01,5.3,2001,10
11/1/01,5.5,2001,11
12/1/01,5.7,2001,12
1/1/02,5.7,2002,1
2/1/02,5.7,2002,2
3/1/02,5.7,2002,3
4/1/02,5.9,2002,4
5/1/02,5.8,2002,5
6/1/02,5.8,2002,6
7/1/02,5.8,2002,7
8/1/02,5.7,2002,8
9/1/02,5.7,2002,9
10/1/02,5.7,2002,10
11/1/02,5.9,2002,11
12/1/02,6,2002,12
1/1/03,5.8,2003,1
2/1/03,5.9,2003,2
3/1/03,5.9,2003,3
4/1/03,6,2003,4
5/1/03,6.1,2003,5
6/1/03,6.3,2003,6
7/1/03,6.2,2003,7
8/1/03,6.1,2003,8
9/1/03,6.1,2003,9
10/1/03,6,2003,10
11/1/03,5.8,2003,11
12/1/03,5.7,2003,12
1/1/04,5.7,2004,1
2/1/04,5.6,2004,2
3/1/04,5.8,2004,3
4/1/04,5.6,2004,4
5/1/04,5.6,2004,5
6/1/04,5.6,2004,6
7/1/04,5.5,2004,7
8/1/04,5.4,2004,8
9/1/04,5.4,2004,9
10/1/04,5.5,2004,10
11/1/04,5.4,2004,11
12/1/04,5.4,2004,12
1/1/05,5.3,2005,1
2/1/05,5.4,2005,2
3/1/05,5.2,2005,3
4/1/05,5.2,2005,4
5/1/05,5.1,2005,5
6/1/05,5,2005,6
7/1/05,5,2005,7
8/1/05,4.9,2005,8
9/1/05,5,2005,9
10/1/05,5,2005,10
11/1/05,5,2005,11
12/1/05,4.9,2005,12
1/1/06,4.7,2006,1
2/1/06,4.8,2006,2
3/1/06,4.7,2006,3
4/1/06,4.7,2006,4
5/1/06,4.6,2006,5
6/1/06,4.6,2006,6
7/1/06,4.7,2006,7
8/1/06,4.7,2006,8
9/1/06,4.5,2006,9
10/1/06,4.4,2006,10
11/1/06,4.5,2006,11
12/1/06,4.4,2006,12
1/1/07,4.6,2007,1
2/1/07,4.5,2007,2
3/1/07,4.4,2007,3
4/1/07,4.5,2007,4
5/1/07,4.4,2007,5
6/1/07,4.6,2007,6
7/1/07,4.7,2007,7
8/1/07,4.6,2007,8
9/1/07,4.7,2007,9
10/1/07,4.7,2007,10
11/1/07,4.7,2007,11
12/1/07,5,2007,12
1/1/08,5,2008,1
2/1/08,4.9,2008,2
3/1/08,5.1,2008,3
4/1/08,5,2008,4
5/1/08,5.4,2008,5
6/1/08,5.6,2008,6
7/1/08,5.8,2008,7
8/1/08,6.1,2008,8
9/1/08,6.1,2008,9
10/1/08,6.5,2008,10
11/1/08,6.8,2008,11
12/1/08,7.3,2008,12
1/1/09,7.8,2009,1
2/1/09,8.3,2009,2
3/1/09,8.7,2009,3
4/1/09,9,2009,4
5/1/09,9.4,2009,5
6/1/09,9.5,2009,6
7/1/09,9.5,2009,7
8/1/09,9.6,2009,8
9/1/09,9.8,2009,9
10/1/09,10,2009,10
11/1/09,9.9,2009,11
12/1/09,9.9,2009,12
1/1/10,9.8,2010,1
2/1/10,9.8,2010,2
3/1/10,9.9,2010,3
4/1/10,9.9,2010,4
5/1/10,9.6,2010,5
6/1/10,9.4,2010,6
7/1/10,9.4,2010,7
8/1/10,9.5,2010,8
9/1/10,9.5,2010,9
10/1/10,9.4,2010,10
11/1/10,9.8,2010,11
12/1/10,9.3,2010,12
1/1/11,9.1,2011,1
2/1/11,9,2011,2
3/1/11,9,2011,3
4/1/11,9.1,2011,4
5/1/11,9,2011,5
6/1/11,9.1,2011,6
7/1/11,9,2011,7
8/1/11,9,2011,8
9/1/11,9,2011,9
10/1/11,8.8,2011,10
11/1/11,8.6,2011,11
12/1/11,8.5,2011,12
1/1/12,8.3,2012,1
2/1/12,8.3,2012,2
3/1/12,8.2,2012,3
4/1/12,8.2,2012,4
5/1/12,8.2,2012,5
6/1/12,8.2,2012,6
7/1/12,8.2,2012,7
8/1/12,8.1,2012,8
9/1/12,7.8,2012,9
10/1/12,7.8,2012,10
11/1/12,7.7,2012,11
12/1/12,7.9,2012,12
1/1/13,8,2013,1
2/1/13,7.7,2013,2
3/1/13,7.5,2013,3
4/1/13,7.6,2013,4
5/1/13,7.5,2013,5
6/1/13,7.5,2013,6
